"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","Philipp LAHM ","GER"," 6'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000","1","9 June 2006"," ","Munich  / Allianz Arena66000"
"2","Paulo WANCHOPE ","CRC"," 12'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000","1","9 June 2006"," ","Munich  / Allianz Arena66000"
"3","Miroslav KLOSE ","GER"," 17'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000","1","9 June 2006"," ","Munich  / Allianz Arena66000"
"4","Miroslav KLOSE ","GER"," 61'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000","1","9 June 2006"," ","Munich  / Allianz Arena66000"
"5","Paulo WANCHOPE ","CRC"," 73'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000","1","9 June 2006"," ","Munich  / Allianz Arena66000"
"6","Torsten FRINGS ","GER"," 87'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000","1","9 June 2006"," ","Munich  / Allianz Arena66000"
"7","Carlos TENORIO ","ECU"," 24'","Poland - Ecuador","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance209 June 2006 21:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","2","9 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"8","Agustin DELGADO ","ECU"," 80'","Poland - Ecuador","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance209 June 2006 21:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","2","9 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"9","Oliver NEUVILLE ","GER"," 90'+1","Germany - Poland","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance1714 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","17","14 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"10","Carlos TENORIO ","ECU"," 8'","Ecuador - Costa Rica","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1815 June 2006 15:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","18","15 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"11","Agustin DELGADO ","ECU"," 54'","Ecuador - Costa Rica","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1815 June 2006 15:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","18","15 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"12","Ivan KAVIEDES ","ECU"," 90'+2","Ecuador - Costa Rica","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1815 June 2006 15:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","18","15 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"13","Miroslav KLOSE ","GER"," 4'","Ecuador - Germany","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance3320 June 2006 16:00Berlin  / Olympiastadion72000","33","20 June 2006"," ","Berlin  / Olympiastadion72000"
"14","Miroslav KLOSE ","GER"," 44'","Ecuador - Germany","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance3320 June 2006 16:00Berlin  / Olympiastadion72000","33","20 June 2006"," ","Berlin  / Olympiastadion72000"
"15","Lukas PODOLSKI ","GER"," 57'","Ecuador - Germany","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance3320 June 2006 16:00Berlin  / Olympiastadion72000","33","20 June 2006"," ","Berlin  / Olympiastadion72000"
"16","Ronald GOMEZ ","CRC"," 25'","Costa Rica - Poland","1:2 (1:1)","MatchDateTimeVenue / StadiumAttendance3420 June 2006 16:00Hanover  / FIFA World Cup Stadium, Hanover43000","34","20 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"17","Bartosz BOSACKI ","POL"," 33'","Costa Rica - Poland","1:2 (1:1)","MatchDateTimeVenue / StadiumAttendance3420 June 2006 16:00Hanover  / FIFA World Cup Stadium, Hanover43000","34","20 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"18","Bartosz BOSACKI ","POL"," 66'","Costa Rica - Poland","1:2 (1:1)","MatchDateTimeVenue / StadiumAttendance3420 June 2006 16:00Hanover  / FIFA World Cup Stadium, Hanover43000","34","20 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"19","Carlos GAMARRA ","PAR"," 3' Own goal","England - Paraguay","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance310 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","3","0 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"20",NA,NA,NA,"Trinidad and Tobago - Sweden","0:0","MatchDateTimeVenue / StadiumAttendance410 June 2006 18:00Dortmund  / FIFA World Cup Stadium, Dortmund62959","4","0 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund62959"
"21","Peter CROUCH ","ENG"," 83'","England - Trinidad and Tobago","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance1915 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","19","15 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"22","Steven GERRARD ","ENG"," 91'","England - Trinidad and Tobago","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance1915 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","19","15 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"23","Fredrik LJUNGBERG ","SWE"," 89'","Sweden - Paraguay","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2015 June 2006 21:00Berlin  / Olympiastadion72000","20","15 June 2006"," ","Berlin  / Olympiastadion72000"
